Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Milo Manheim,17,White,Male,Leader,Actor,Acting,Witney Carson,Season 27,2,9.17948717948718
Bobby Bones,38,White,Male,Leader,Radio Host,Talk Show & News,Sharna Burgess,Season 27,1,7.61538461538462
Mary Wilson,75,Black,Female,Follower,Singer,Music,Brandon Armstrong,Season 28,12,5.33333333333333
Ray Lewis,44,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 28,WD,5
Lamar Odom,39,Black,Male,Leader,Professional Basketball Player,National Athlete,Peta Murgatroyd,Season 28,10,4.23076923076923
Sailor Brinkley-Cook,21,White,Female,Follower,Model,Influencer,Valentin Chmerkovskiy,Season 28,9,7.42105263157895
Karamo Brown,38,Black,Male,Leader,Queer Eye Host,Other Shows,Jenna Johnson,Season 28,8,7
Kate Flannery,54,White,Female,Follower,Actress,Acting,Pasha Pashkov,Season 28,7,7.53571428571429
Sean Spicer,48,White,Male,Leader,Former White House Press Secretary,Public Server,Lindsay Arnold,Season 28,6,6
James Van Der Beek,42,White,Male,Leader,Actor,Acting,Emma Slater,Season 28,5,8.42857142857143
Lauren Alaina,25,White,Female,Follower,Singer,Music,Gleb Savchenko,Season 28,4,8.29166666666667
Ally Brooke,26,Hispanic/Latino,Female,Follower,Singer,Music,Sasha Farber,Season 28,3,8.89583333333333
Kel Mitchell,41,Black,Male,Leader,"Actor, Comedian",Other Shows,Witney Carson,Season 28,2,8.5625
Hannah Brown,25,White,Female,Follower,Reality TV Personality,Influencer,Alan Bersten,Season 28,1,8.58333333333333
Charles Oakley,56,Black,Male,Leader,Professional Basketball Player,National Athlete,Emma Slater,Season 29,15,4.5
Carole Baskin,59,White,Female,Follower,Animal Activist,Other Shows,Pasha Pashkov,Season 29,14,4.33333333333333
Anne Heche,51,White,Female,Follower,Actress,Acting,Keo Motsepe,Season 29,13,6
Jesse Metcalfe,41,White,Male,Leader,Actor,Acting,Sharna Burgess,Season 29,12,6.53333333333333
Vernon Davis,36,Black,Male,Leader,Professional Football Player,National Athlete,Peta Murgatroyd,Season 29,11,6.72222222222222
Monica Aldama,48,White,Female,Follower,Reality TV Personality,Influencer,Valentin Chmerkovskiy,Season 29,10,7.38095238095238
Jeannie Mai,41,Asian,Female,Follower,TV Host,Talk Show & News,Brandon Armstrong,Season 29,WD,7.28571428571429
Chrishell Stause,39,White,Female,Follower,Reality TV Personality,Influencer,Gleb Savchenko,Season 29,8,7.08333333333333
AJ McLean,42,Hispanic/Latino,Male,Leader,Singer,Music,Cheryl Burke,Season 29,7,7.81481481481481
Johnny Weir,36,White,Male,Leader,Olympic Figure Skater,Olympic Athlete,Britt Stewart,Season 29,6,8.45454545454545
Skai Jackson,18,Black,Female,Follower,Actress,Acting,Alan Bersten,Season 29,5,8
Justina Machado,48,Hispanic/Latino,Female,Follower,Actress,Acting,Sasha Farber,Season 29,4,8.58974358974359
Nelly,46,Black,Male,Leader,Rapper,Music,Daniella Karagach,Season 29,3,7.8974358974359
Nev Schulman,36,White,Male,Leader,Catfish Host,Other Shows,Jenna Johnson,Season 29,2,8.97435897435897
Kaitlyn Bristowe,35,White,Female,Follower,Reality TV Personality,Influencer,Artem Chigvintsev,Season 29,1,8.87179487179487
Martin Kove,75,White,Male,Leader,Actor,Acting,Britt Stewart,Season 30,15,3.5
Christine Chiu,38,Asian,Female,Follower,Reality TV Personality,Influencer,Pasha Pashkov,Season 30,14,6.36363636363636
Brian Austin Green,48,White,Male,Leader,Actor,Acting,Sharna Burgess,Season 30,13,6.21052631578947
Matt James,29,Black,Male,Leader,Reality TV Personality,Influencer,Lindsay Arnold,Season 30,12,6.47368421052632
Melanie C,46,White,Female,Follower,Singer,Music,Gleb Savchenko,Season 30,11,7.8695652173913
Kenya Moore,50,Black,Female,Follower,Reality TV Personality,Influencer,Brandon Armstrong,Season 30,10,7.33333333333333
"Mike ""The Miz"" Mizanin",41,White,Male,Leader,Professional Wrestler,Fighter,Witney Carson,Season 30,9,7.58064516129032
Olivia Jade,22,White,Female,Follower,Internet Personality,Influencer,Valentin Chmerkovskiy,Season 30,8,8.45714285714286
Jimmie Allen,36,Black,Male,Leader,Singer,Music,Emma Slater,Season 30,7,7.94285714285714
Melora Hardin,54,White,Female,Follower,Actress,Acting,Artem Chigvintsev,Season 30,6,8.62790697674419
Suni Lee,18,Asian,Female,Follower,Olympic Artistic Gymnast,Olympic Athlete,Sasha Farber,Season 30,5,8.55813953488372
Amanda Kloots,39,White,Female,Follower,TV Host,Talk Show & News,Alan Bersten,Season 30,4,9.05882352941176
Cody Rigsby,34,White,Male,Leader,Peleton Instructor,Influencer,Cheryl Burke,Season 30,3,8.09803921568627
JoJo Siwa,18,White,Female,Leader,Reality TV Personality,Influencer,Jenna Johnson,Season 30,2,9.29411764705882
Iman Shumpert,31,Black,Male,Leader,Professional Basketball Player,National Athlete,Daniella Karagach,Season 30,1,8.23529411764706
Jason Lewis,51,White,Male,Leader,Actor,Acting,Peta Murgatroyd,Season 31,16,4.5
Teresa Giudice,50,White,Female,Follower,Reality TV Personality,Influencer,Pasha Pashkov,Season 31,15,5.375
Cheryl Ladd,71,White,Female,Follower,Actress,Acting,Louis van Amstel,Season 31,14,5.5
Sam Champion,61,White,Male,Leader,Meterologist,Talk Show & News,Cheryl Burke,Season 31,13,6
Selma Blair,50,White,Female,Follower,Actress,Acting,Sasha Farber,Season 31,WD,7.8
